Neighborhood_ID,Neighborhood_name,Borough,Latitude,Longitude
Wakefield40.89470517661-73.84720052054902,Wakefield,Bronx,40.89470517661,-73.84720052054902
Co-op City40.87429419303012-73.82993910812398,Co-op City,Bronx,40.87429419303012,-73.82993910812398
Eastchester40.887555677350775-73.82780644716412,Eastchester,Bronx,40.887555677350775,-73.82780644716412
Fieldston40.89543742690383-73.90564259591682,Fieldston,Bronx,40.89543742690383,-73.90564259591682
Riverdale40.890834493891305-73.9125854610857,Riverdale,Bronx,40.890834493891305,-73.9125854610857
Kingsbridge40.88168737120521-73.90281798724604,Kingsbridge,Bronx,40.88168737120521,-73.90281798724604
Marble Hill40.87655077879964-73.91065965862981,Marble Hill,Manhattan,40.87655077879964,-73.91065965862981
Woodlawn40.89827261213805-73.86731496814176,Woodlawn,Bronx,40.89827261213805,-73.86731496814176
Norwood40.87722415599446-73.8793907395681,Norwood,Bronx,40.87722415599446,-73.8793907395681
Williamsbridge40.88103887819211-73.85744642974207,Williamsbridge,Bronx,40.88103887819211,-73.85744642974207
Baychester40.866858107252696-73.83579759808117,Baychester,Bronx,40.866858107252696,-73.83579759808117
Pelham Parkway40.85741349808865-73.85475564017999,Pelham Parkway,Bronx,40.85741349808865,-73.85475564017999
City Island40.84724670491813-73.78648845267413,City Island,Bronx,40.84724670491813,-73.78648845267413
Bedford Park40.870185164975325-73.8855121841913,Bedford Park,Bronx,40.870185164975325,-73.8855121841913
University Heights40.85572707719664-73.9104159619131,University Heights,Bronx,40.85572707719664,-73.9104159619131
Morris Heights40.84789792606271-73.91967159119565,Morris Heights,Bronx,40.84789792606271,-73.91967159119565
Fordham40.86099679638654-73.89642655981623,Fordham,Bronx,40.86099679638654,-73.89642655981623
East Tremont40.84269615786053-73.88735617532338,East Tremont,Bronx,40.84269615786053,-73.88735617532338
West Farms40.83947505672653-73.87774474910545,West Farms,Bronx,40.83947505672653,-73.87774474910545
High  Bridge40.836623010706056-73.9261020935813,High  Bridge,Bronx,40.836623010706056,-73.9261020935813
Melrose40.819754370594936-73.90942160757436,Melrose,Bronx,40.819754370594936,-73.90942160757436
Mott Haven40.80623874935177-73.91609987487575,Mott Haven,Bronx,40.80623874935177,-73.91609987487575
Port Morris40.801663627756206-73.91322139386135,Port Morris,Bronx,40.801663627756206,-73.91322139386135
Longwood40.81509904545822-73.8957882009446,Longwood,Bronx,40.81509904545822,-73.8957882009446
Hunts Point40.80972987938709-73.88331505955291,Hunts Point,Bronx,40.80972987938709,-73.88331505955291
Morrisania40.82359198585534-73.90150648943059,Morrisania,Bronx,40.82359198585534,-73.90150648943059
Soundview40.821012197914015-73.86574609554924,Soundview,Bronx,40.821012197914015,-73.86574609554924
Clason Point40.80655112003589-73.85414416189266,Clason Point,Bronx,40.80655112003589,-73.85414416189266
Throgs Neck40.81510925804005-73.81635002158441,Throgs Neck,Bronx,40.81510925804005,-73.81635002158441
Country Club40.844245936947374-73.8240992675385,Country Club,Bronx,40.844245936947374,-73.8240992675385
Parkchester40.837937822267286-73.85600310535783,Parkchester,Bronx,40.837937822267286,-73.85600310535783
Westchester Square40.8406194964327-73.84219407604444,Westchester Square,Bronx,40.8406194964327,-73.84219407604444
Van Nest40.84360847124718-73.8662991807561,Van Nest,Bronx,40.84360847124718,-73.8662991807561
Morris Park40.847549063536334-73.85040178030421,Morris Park,Bronx,40.847549063536334,-73.85040178030421
Belmont40.85727710073895-73.88845196134804,Belmont,Bronx,40.85727710073895,-73.88845196134804
Spuyten Duyvil40.88139497727086-73.91719048210393,Spuyten Duyvil,Bronx,40.88139497727086,-73.91719048210393
North Riverdale40.90854282950666-73.90453054908927,North Riverdale,Bronx,40.90854282950666,-73.90453054908927
Pelham Bay40.85064140940335-73.8320737824047,Pelham Bay,Bronx,40.85064140940335,-73.8320737824047
Schuylerville40.82657951686922-73.82620275994073,Schuylerville,Bronx,40.82657951686922,-73.82620275994073
Edgewater Park40.821986118163494-73.81388514428619,Edgewater Park,Bronx,40.821986118163494,-73.81388514428619
